SUFFIX_FORM,FULL_NAME
ALLY,ALLEY
ALWY,ALLEYWAY
AMBL,AMBLE
ANCG,ANCHORAGE
APP,APPROACH
ARC,ARCADE
ART,ARTERY
AVE,AVENUE
BASN,BASIN
BCH,BEACH
BEND,BEND
BLK,BLOCK
BVD,BOULEVARD
BRCE,BRACE
BRAE,BRAE
BRK,BREAK
BDGE,BRIDGE
BDWY,BROADWAY
BROW,BROW
BYPA,BYPASS
BYWY,BYWAY
CAUS,CAUSEWAY
CTR,CENTRE
CNWY,CENTREWAY
CH,CHASE
CIR,CIRCLE
CLT,CIRCLET
CCT,CIRCUIT
CRCS,CIRCUS
CL,CLOSE
CLDE,COLONNADE
CMMN,COMMON
CON,CONCOURSE
CPS,COPSE
CNR,CORNER
CSO,CORSO
CT,COURT
CTYD,COURTYARD
COVE,COVE
CRES,CRESCENT
CRST,CREST
CRSS,CROSS
CRSG,CROSSING
CRD,CROSSROAD
COWY,CROSSWAY
CUWY,CRUISEWAY
CDS,CUL-DE-SAC
CTTG,CUTTING
DALE,DALE
DELL,DELL
DEVN,DEVIATION
DIP,DIP
DSTR,DISTRIBUTOR
DR,DRIVE
DRWY,DRIVEWAY
EDGE,EDGE
ELB,ELBOW
END,END
ENT,ENTRANCE
ESP,ESPLANADE
EST,ESTATE
EXP,EXPRESSWAY
EXTN,EXTENSION
FAWY,FAIRWAY
FTRK,FIRE
FITR,FIRETRAIL
FLAT,FLAT
FOLW,FOLLOW
FTWY,FOOTWAY
FSHR,FORESHORE
FORM,FORMATION
FWY,FREEWAY
FRNT,FRONT
FRTG,FRONTAGE
GAP,GAP
GDN,GARDEN
GTE,GATE
GDNS,GARDENS
GTES,GATES
GLD,GLADE
GLEN,GLEN
GRA,GRANGE
GRN,GREEN
GRND,GROUND
GR,GROVE
GLY,GULLY
HTS,HEIGHTS
HRD,HIGHROAD
HWY,HIGHWAY
HILL,HILL
INTG,INTERCHANGE
INTN,INTERSECTION
JNC,JUNCTION
KEY,KEY
LDG,LANDING
LANE,LANE
LNWY,LANEWAY
LEES,LEES
LINE,LINE
LINK,LINK
LT,LITTLE
LKT,LOOKOUT
LOOP,LOOP
LWR,LOWER
MALL,MALL
MNDR,MEANDER
MEW,MEW
MEWS,MEWS
MWY,MOTORWAY
MT,MOUNT
NOOK,NOOK
OTLK,OUTLOOK
PDE,PARADE
PARK,PARK
PKLD,PARKLANDS
PKWY,PARKWAY
PART,PART
PASS,PASS
PATH,PATH
PHWY,PATHWAY
PIAZ,PIAZZA
PL,PLACE
PLAT,PLATEAU
PLZA,PLAZA
PKT,POCKET
PNT,POINT
PORT,PORT
PROM,PROMENADE
QUAD,QUAD
QDGL,QUADRANGLE
QDRT,QUADRANT
QY,QUAY
QYS,QUAYS
RMBL,RAMBLE
RAMP,RAMP
RNGE,RANGE
RCH,REACH
RES,RESERVE
REST,REST
RTT,RETREAT
RIDE,RIDE
RDGE,RIDGE
RGWY,RIDGEWAY
ROWY,RIGHT
RING,RING
RISE,RISE
RVR,RIVER
RVWY,RIVERWAY
RVRA,RIVIERA
RD,ROAD
RDS,ROADS
RDSD,ROADSIDE
RDWY,ROADWAY
RNDE,RONDE
RSBL,ROSEBOWL
RTY,ROTARY
RND,ROUND
RTE,ROUTE
ROW,ROW
RUE,RUE
RUN,RUN
SWY,SERVICE
SDNG,SIDING
SLPE,SLOPE
SND,SOUND
SPUR,SPUR
SQ,SQUARE
STRS,STAIRS
SHWY,STATE
STPS,STEPS
STRA,STRAND
ST,STREET
STRP,STRIP
SBWY,SUBWAY
TARN,TARN
TCE,TERRACE
THOR,THOROUGHFARE
TLWY,TOLLWAY
TOP,TOP
TOR,TOR
TWRS,TOWERS
TRK,TRACK
TRL,TRAIL
TRLR,TRAILER
TRI,TRIANGLE
TKWY,TRUNKWAY
TURN,TURN
UPAS,UNDERPASS
UPR,UPPER
VALE,VALE
VDCT,VIADUCT
VIEW,VIEW
VLLS,VILLAS
VSTA,VISTA
WADE,WADE
WALK,WALK
WKWY,WALKWAY
WAY,WAY
WHRF,WHARF
WYND,WYND
YARD,YARD
