id,CED_NAME21
GANSW718594889,Banks
GANSW718416994,Banks
GANSW718563511,Bennelong
GANSW718563512,Bennelong
GANSW717956930,Bennelong
GANSW720382463,Bennelong
GANSW720545251,Berowra
GANSW717870737,Berowra
GANSW720938369,Berowra
GANSW708602182,Berowra
GANSW720550112,Berowra
GANSW720459923,Berowra
GANSW708727715,Berowra
GANSW720459761,Berowra
GANSW720546737,Berowra
GANSW720547853,Berowra
GANSW720548767,Berowra
GANSW720549917,Berowra
GANSW717870739,Berowra
GANSW720549268,Berowra
GANSW720545025,Berowra
GANSW720547468,Berowra
GANSW720547193,Berowra
GANSW720461047,Berowra
GANSW721458620,Berowra
GANSW720547169,Berowra
GANSW704107466,Berowra
GANSW705347828,Berowra
GANSW720459724,Berowra
GANSW708598829,Berowra
GANSW720548608,Berowra
GANSW716434390,Berowra
GANSW717881824,Berowra
GANSW721438243,Berowra
GANSW705347827,Berowra
GANSW704255363,Berowra
GANSW720792576,Berowra
GANSW720545870,Berowra
GANSW720435881,Berowra
GANSW720545222,Berowra
GANSW721441828,Berowra
GANSW721441300,Bradfield
GANSW718199231,Cook
GANSW718207059,Cook
GANSW718050227,Cook
GANSW718783310,Cook
GANSW718783312,Cook
GANSW704530939,Cook
GANSW718207792,Cook
GANSW718207792,Cook
GANSW717693510,Cook
GANSW718025461,Cook
GANSW704514919,Cook
GANSW718246027,Cook
GANSW718246027,Cook
GANSW705138830,Cook
GANSW718207791,Cook
GANSW718207791,Cook
GANSW718270248,Cook
GANSW718783311,Cook
GANSW718322697,Cook
GANSW718801489,Cook
GANSW717544406,Cook
GANSW718246028,Cook
GANSW718246028,Cook
GANSW718957188,Cook
GANSW718415991,Cook
GANSW717578273,Cook
GANSW706514196,Cook
GANSW718186099,Cook
GANSW717557792,Cook
GANSW719160847,Dobell
GANSW717381117,Dobell
GANSW718207778,Dobell
GANSW705064838,Gilmore
GANSW717228054,Gilmore
GANSW717228053,Gilmore
GANSW709824884,Gilmore
GANSW717228056,Gilmore
GANSW718078179,Gilmore
GANSW717787105,Grayndler
GANSW717787115,Grayndler
GANSW717787124,Grayndler
GANSW717787112,Grayndler
GANSW717787104,Grayndler
GANSW717787118,Grayndler
GANSW717787100,Grayndler
GANSW704129802,Grayndler
GANSW705825109,Grayndler
GANSW705825110,Grayndler
GANSW705855549,Grayndler
GANSW717787111,Grayndler
GANSW717787126,Grayndler
GANSW704121486,Grayndler
GANSW717787099,Grayndler
GANSW717787101,Grayndler
GANSW718781707,Grayndler
GANSW721326316,Grayndler
GANSW717787108,Grayndler
GANSW705825412,Grayndler
GANSW717787102,Grayndler
GANSW717787098,Grayndler
GANSW717787113,Grayndler
GANSW717787114,Grayndler
GANSW718781706,Grayndler
GANSW717787117,Grayndler
GANSW717787106,Grayndler
GANSW717787110,Grayndler
GANSW717787097,Grayndler
GANSW705825106,Grayndler
GANSW705855538,Grayndler
GANSW717787103,Grayndler
GANSW717787107,Grayndler
GANSW717787116,Grayndler
GANSW721441163,Grayndler
GANSW718363809,Grayndler
GANSW717787125,Grayndler
GANSW718508794,Hughes
GANSW718211215,Hughes
GANSW718207053,Hughes
GANSW718197614,Hughes
GANSW717967223,Hunter
GANSW717844209,Hunter
GANSW706122661,Hunter
GANSW721442167,Hunter
GANSW721448653,Hunter
GANSW717924553,Hunter
GANSW721442239,Hunter
GANSW717970140,Hunter
GANSW717528213,Hunter
GANSW718423009,Hunter
GANSW716646308,Kingsford Smith
GANSW718400454,Kingsford Smith
GANSW718518074,Kingsford Smith
GANSW717690839,Kingsford Smith
GANSW717674602,Kingsford Smith
GANSW717341427,Kingsford Smith
GANSW718494024,Kingsford Smith
GANSW718461741,Kingsford Smith
GANSW717690967,Kingsford Smith
GANSW718005268,Lyne
GANSW717205786,Mackellar
GANSW718329654,Mackellar
GANSW718349434,Mackellar
GANSW718409138,Mackellar
GANSW718349437,Mackellar
GANSW716905043,Mackellar
GANSW718312716,Mackellar
GANSW717205788,Mackellar
GANSW718355965,Mackellar
GANSW718313413,Mackellar
GANSW718419726,Mackellar
GANSW717205787,Mackellar
GANSW718494521,Mackellar
GANSW720541267,Mackellar
GANSW707645979,Mackellar
GANSW718047958,New England
GANSW717571030,Newcastle
GANSW721044609,Newcastle
GANSW715882638,Newcastle
GANSW717651177,Newcastle
GANSW721050617,Newcastle
GANSW718262823,Newcastle
GANSW717554554,Newcastle
GANSW716798383,Newcastle
GANSW721049741,Newcastle
GANSW715962600,Newcastle
GANSW721047492,Newcastle
GANSW721048865,Newcastle
GANSW721461868,Newcastle
GANSW707669798,Newcastle
GANSW721043010,Newcastle
GANSW718694823,Newcastle
GANSW721043409,Newcastle
GANSW721042457,Newcastle
GANSW721046569,Newcastle
GANSW706515942,Newcastle
GANSW721041974,Newcastle
GANSW721047915,Newcastle
GANSW721050534,Newcastle
GANSW716798382,Newcastle
GANSW717554556,Newcastle
GANSW721048061,Newcastle
GANSW717987708,Newcastle
GANSW717651176,Newcastle
GANSW721045104,Newcastle
GANSW715882636,Newcastle
GANSW715882637,Newcastle
GANSW720104078,Newcastle
GANSW721048330,Newcastle
GANSW715882639,Newcastle
GANSW718596240,Newcastle
GANSW721444384,Newcastle
GANSW717401105,Newcastle
GANSW717391297,Newcastle
GANSW721051332,Newcastle
GANSW718099605,Newcastle
GANSW704280950,North Sydney
GANSW718838131,North Sydney
GANSW721440034,North Sydney
GANSW721438612,North Sydney
GANSW718400229,North Sydney
GANSW718189533,North Sydney
GANSW706402905,North Sydney
GANSW718185828,Parkes
GANSW717833019,Paterson
GANSW717349996,Paterson
GANSW721315556,Paterson
GANSW719658529,Paterson
GANSW716467491,Paterson
GANSW718456526,Paterson
GANSW718262819,Paterson
GANSW721316327,Paterson
GANSW721327869,Paterson
GANSW718307824,Reid
GANSW718307870,Reid
GANSW719350933,Reid
GANSW718307831,Reid
GANSW718354592,Reid
GANSW718354590,Reid
GANSW719360204,Reid
GANSW718354594,Reid
GANSW719350309,Reid
GANSW718307827,Reid
GANSW719351075,Reid
GANSW719363955,Reid
GANSW718354595,Reid
GANSW718307838,Reid
GANSW718307885,Reid
GANSW718354589,Reid
GANSW717694121,Reid
GANSW718307834,Reid
GANSW718307894,Reid
GANSW718307841,Reid
GANSW718307851,Reid
GANSW718307852,Reid
GANSW718307883,Reid
GANSW719162525,Reid
GANSW718307829,Reid
GANSW718307835,Reid
GANSW719353396,Reid
GANSW718307862,Reid
GANSW718307825,Reid
GANSW718307853,Reid
GANSW718307868,Reid
GANSW719362383,Reid
GANSW720534283,Reid
GANSW718244987,Reid
GANSW717667917,Reid
GANSW718307865,Reid
GANSW719355772,Reid
GANSW718307849,Reid
GANSW718307855,Reid
GANSW711014142,Reid
GANSW718307860,Reid
GANSW718307873,Reid
GANSW718307888,Reid
GANSW718307836,Reid
GANSW718307891,Reid
GANSW718354591,Reid
GANSW718307879,Reid
GANSW718109342,Reid
GANSW719355242,Reid
GANSW718307840,Reid
GANSW718307832,Reid
GANSW718307846,Reid
GANSW718307864,Reid
GANSW719351927,Reid
GANSW718307880,Reid
GANSW718354597,Reid
GANSW719351292,Reid
GANSW718307830,Reid
GANSW718307844,Reid
GANSW719355905,Reid
GANSW718307889,Reid
GANSW718354598,Reid
GANSW719348805,Reid
GANSW718307848,Reid
GANSW718307866,Reid
GANSW718307878,Reid
GANSW718307884,Reid
GANSW718244988,Reid
GANSW718307872,Reid
GANSW718307887,Reid
GANSW719354348,Reid
GANSW718307871,Reid
GANSW718354588,Reid
GANSW719365099,Reid
GANSW718307842,Reid
GANSW718307890,Reid
GANSW719362762,Reid
GANSW718244985,Reid
GANSW718307828,Reid
GANSW718307845,Reid
GANSW718307839,Reid
GANSW718307893,Reid
GANSW718307826,Reid
GANSW718307892,Reid
GANSW718307854,Reid
GANSW703876234,Reid
GANSW718307847,Reid
GANSW719350452,Reid
GANSW718307837,Reid
GANSW719361098,Reid
GANSW718307856,Reid
GANSW718307877,Reid
GANSW718354593,Reid
GANSW719362779,Reid
GANSW718164250,Reid
GANSW718307863,Reid
GANSW718307876,Reid
GANSW719357163,Reid
GANSW718307850,Reid
GANSW718307869,Reid
GANSW719354364,Reid
GANSW718307882,Reid
GANSW718307886,Reid
GANSW719352406,Reid
GANSW718244986,Reid
GANSW718307833,Reid
GANSW718307857,Reid
GANSW718307867,Reid
GANSW718109341,Reid
GANSW718307859,Reid
GANSW718307861,Reid
GANSW718354596,Reid
GANSW704603375,Reid
GANSW718307874,Reid
GANSW718307875,Reid
GANSW719359858,Reid
GANSW718307858,Reid
GANSW718307881,Reid
GANSW718307843,Reid
GANSW718354599,Reid
GANSW719353728,Reid
GANSW717729849,Richmond
GANSW720682730,Richmond
GANSW717729850,Richmond
GANSW719688992,Richmond
GANSW712343436,Richmond
GANSW704008914,Richmond
GANSW717729847,Richmond
GANSW717729846,Richmond
GANSW712318907,Richmond
GANSW717729848,Richmond
GANSW717729845,Richmond
GANSW712315711,Richmond
GANSW712315708,Richmond
GANSW719688967,Richmond
GANSW712315710,Richmond
GANSW712318908,Richmond
GANSW712318909,Richmond
GANSW712305918,Richmond
GANSW717729844,Richmond
GANSW703981215,Richmond
GANSW717729842,Richmond
GANSW717729841,Richmond
GANSW712315707,Richmond
GANSW717729843,Richmond
GANSW712315709,Richmond
GANSW717193128,Richmond
GANSW719575393,Richmond
GANSW718465398,Robertson
GANSW715978949,Robertson
GANSW718459699,Robertson
GANSW711737959,Robertson
GANSW716970833,Robertson
GANSW718467875,Robertson
GANSW721496441,Robertson
GANSW718454388,Robertson
GANSW716728237,Robertson
GANSW711742598,Robertson
GANSW716096464,Robertson
GANSW718467877,Robertson
GANSW718456747,Robertson
GANSW711740748,Robertson
GANSW720904829,Robertson
GANSW715252161,Robertson
GANSW704197403,Robertson
GANSW718536932,Robertson
GANSW716966348,Robertson
GANSW718456715,Robertson
GANSW718467876,Robertson
GANSW721498967,Robertson
GANSW717599547,Robertson
GANSW705290473,Shortland
GANSW704080533,Shortland
GANSW717894929,Shortland
GANSW718535964,Shortland
GANSW720158219,Shortland
GANSW718722559,Sydney
GANSW718723045,Sydney
GANSW717328842,Sydney
GANSW718722631,Sydney
GANSW718727788,Sydney
GANSW718727799,Sydney
GANSW710001404,Sydney
GANSW717781606,Sydney
GANSW718723014,Sydney
GANSW718752066,Sydney
GANSW717781654,Sydney
GANSW718492115,Sydney
GANSW718722589,Sydney
GANSW718745648,Sydney
GANSW717781630,Sydney
GANSW717963144,Sydney
GANSW718727797,Sydney
GANSW718727803,Sydney
GANSW717781600,Sydney
GANSW717963148,Sydney
GANSW718722719,Sydney
GANSW718745687,Sydney
GANSW717963154,Sydney
GANSW718727809,Sydney
GANSW717781623,Sydney
GANSW717781643,Sydney
GANSW718727792,Sydney
GANSW717781616,Sydney
GANSW717781641,Sydney
GANSW718498990,Sydney
GANSW717781590,Sydney
GANSW718722647,Sydney
GANSW718722764,Sydney
GANSW717888817,Sydney
GANSW718722663,Sydney
GANSW717781626,Sydney
GANSW718498986,Sydney
GANSW717963150,Sydney
GANSW718498989,Sydney
GANSW718502005,Sydney
GANSW718722644,Sydney
GANSW718745803,Sydney
GANSW717781613,Sydney
GANSW718722655,Sydney
GANSW718723031,Sydney
GANSW720269104,Sydney
GANSW718420526,Sydney
GANSW717781634,Sydney
GANSW718722659,Sydney
GANSW718727795,Sydney
GANSW718498985,Sydney
GANSW718727794,Sydney
GANSW718727802,Sydney
GANSW718722768,Sydney
GANSW718722603,Sydney
GANSW718727808,Sydney
GANSW718160253,Sydney
GANSW717781621,Sydney
GANSW717781625,Sydney
GANSW717781627,Sydney
GANSW718722572,Sydney
GANSW718722617,Sydney
GANSW718727784,Sydney
GANSW718727786,Sydney
GANSW717781602,Sydney
GANSW718727812,Sydney
GANSW717781617,Sydney
GANSW718722465,Sydney
GANSW718722732,Sydney
GANSW718727793,Sydney
GANSW718727800,Sydney
GANSW717781611,Sydney
GANSW717963159,Sydney
GANSW718420518,Sydney
GANSW718722981,Sydney
GANSW718180917,Sydney
GANSW718727791,Sydney
GANSW717781598,Sydney
GANSW717781635,Sydney
GANSW718420524,Sydney
GANSW718722639,Sydney
GANSW717781596,Sydney
GANSW717781639,Sydney
GANSW718490015,Sydney
GANSW718722488,Sydney
GANSW717781629,Sydney
GANSW717963169,Sydney
GANSW718357014,Sydney
GANSW718722543,Sydney
GANSW718498987,Sydney
GANSW718727811,Sydney
GANSW718745852,Sydney
GANSW718722860,Sydney
GANSW718722964,Sydney
GANSW718727789,Sydney
GANSW718533978,Sydney
GANSW718727813,Sydney
GANSW718722512,Sydney
GANSW718722528,Sydney
GANSW718722706,Sydney
GANSW718727790,Sydney
GANSW717781682,Sydney
GANSW718722563,Sydney
GANSW718722681,Sydney
GANSW717781609,Sydney
GANSW717781642,Sydney
GANSW718745853,Sydney
GANSW717781594,Sydney
GANSW717781614,Sydney
GANSW717781636,Sydney
GANSW717963167,Sydney
GANSW717963182,Sydney
GANSW718722554,Sydney
GANSW718745854,Sydney
GANSW718722694,Sydney
GANSW717781605,Sydney
GANSW717963172,Sydney
GANSW718727785,Sydney
GANSW718727787,Sydney
GANSW718727810,Sydney
GANSW718564855,Sydney
GANSW718723039,Sydney
GANSW717781624,Sydney
GANSW717781640,Sydney
GANSW718722567,Sydney
GANSW718420501,Sydney
GANSW718420537,Sydney
GANSW718420507,Sydney
GANSW718722997,Sydney
GANSW718727801,Sydney
GANSW717888818,Sydney
GANSW718727806,Sydney
GANSW718727807,Sydney
GANSW717963142,Sydney
GANSW718498988,Sydney
GANSW718722652,Sydney
GANSW718727805,Sydney
GANSW717781592,Sydney
GANSW717781619,Sydney
GANSW718727796,Sydney
GANSW718727798,Sydney
GANSW718745537,Sydney
GANSW717343886,Sydney
GANSW717781632,Sydney
GANSW717781604,Sydney
GANSW717963163,Sydney
GANSW718745621,Sydney
GANSW719026712,Sydney
GANSW718498983,Sydney
GANSW718498984,Sydney
GANSW718727804,Sydney
GANSW718840670,Sydney
GANSW717095754,Warringah
GANSW721444139,Warringah
GANSW718799095,Warringah
GANSW718607872,Warringah
GANSW717137752,Warringah
GANSW718103776,Wentworth
GANSW720392327,Wentworth
GANSW719574611,Wentworth
GANSW710426341,Wentworth
GANSW718895314,Wentworth
GANSW719464573,Wentworth
GANSW718358789,Wentworth
GANSW718352677,Wentworth
